date,symbol,open,high,low,close,rsi,ma_20,ma_50,macd,macd_signal,macd_hist
2021-06-10 11:28:44.153000+00:00,HDFCBANK,1025.95,1026.95,993.0,1002.0,,1002.0,1002.0,0.0,0.0,0.0
2021-06-10 11:29:05.415000+00:00,HDFCBANK,1008.0,1061.05,1003.0,1041.65,100.0,1021.825,1021.825,3.162962962962979,0.6325925925925958,2.5303703703703833
2021-06-10 11:29:26.600000+00:00,HDFCBANK,1047.95,1055.8,1020.0,1027.55,73.76744186046497,1023.7333333333332,1023.7333333333332,4.480236361717857,1.402121346417648,3.078115015300209
2021-06-10 11:29:48.024000+00:00,HDFCBANK,1037.0,1055.0,1026.25,1040.7,78.9237668161434,1027.975,1027.975,6.51023419422711,2.4237439159795406,4.0864902782475685
2021-06-10 11:30:08.337000+00:00,HDFCBANK,1034.85,1047.2,1020.6,1043.85,79.87152034261229,1031.15,1031.15,8.277779684720372,3.594551069727707,4.6832286149926645
2021-06-10 11:30:29.704000+00:00,HDFCBANK,1044.0,1064.0,1043.8,1050.65,81.65256994144428,1034.3999999999999,1034.3999999999999,10.110725243543015,4.897785904490769,5.212939339052246
2021-06-10 11:30:50.160000+00:00,HDFCBANK,1048.5,1071.0,1048.5,1066.65,84.81421647819054,1039.007142857143,1039.007142857143,12.707925037565929,6.459813731105802,6.248111306460126
2021-06-10 11:31:10.646000+00:00,HDFCBANK,1065.0,1066.0,1048.0,1063.7,82.20250521920657,1042.09375,1042.09375,14.3626208871558,8.0403751623158,6.322245724839998
2021-06-10 11:31:31.714000+00:00,HDFCBANK,1067.95,1071.35,1056.5,1059.05,78.39721254355385,1043.9777777777776,1043.9777777777776,15.124418252080659,9.457183780268773,5.667234471811886
2021-06-10 11:31:52.114000+00:00,HDFCBANK,1065.9,1065.9,1027.3,1034.45,62.974810075969586,1043.025,1043.025,13.586516834262738,10.283050391067565,3.3034664431951732
